Title,Full_Address,Price,Bedroom,Bathroom,Floors,Parking,Face,Year,Views,Area,Road,Build Area,Posted,Amenities,City,Address
"7 Anna 4 BHK Bungalow For Sale In Siddhartha Colony, Budhanilkantha : House For Sale In Budhanilkantha, Kathmandu","['Siddhartha Colony', ' Budhanilkantha', ' Budhanilkantha', ' Kathmandu']",45000000,4,4,,3,East,,151,0-7-0-0 Aana,16 Feet / Blacktopped,N/A Aana,4 months ago,"['Lawn', 'Garage', 'Air Condition', 'Backyard', 'Balcony', 'Microwave', 'Garden', 'Frontyard', 'Fencing', 'Deck', 'Modular Kitchen', 'TV Cable', 'Washing Machine', 'Wifi', 'Drainage', 'Water Tank', 'Water Well', 'Solar Water', 'Water Supply', 'Electricity Backup', 'Internet', 'Kids Playground']", Kathmandu, Budhanilkantha
"Magnificent 21 Anna Bungalow For Sale Pasikot, 800 Meters From Main Highway : House For Sale In Pasikot, Kathmandu","['Pasikot', ' 800 M From Main Highway', ' Pasikot', ' Kathmandu']",80000000,0,4,,0,East,,132,0-21-0-0 Aana,16 Feet / Blacktopped,N/A Aana,4 months ago,"['Lawn', 'Garage', 'Backyard', 'Balcony', 'Microwave', 'Garden', 'Frontyard', 'Fencing', 'Deck', 'Modular Kitchen', 'TV Cable', 'Washing Machine', 'Wifi', 'Drainage', 'Water Tank', 'Water Well', 'Solar Water', 'Water Supply', 'Electricity Backup', 'Internet', 'Kids Playground']", Kathmandu, Pasikot
"5 BHK Beautiful Bungalow For Sale At Dhapasi Height : House For Sale In Dhapasi, Kathmandu","['Dhapasi Height', ' Dhapasi', ' Kathmandu']",35000000,4,4,2.0,2,East,,305,0-5-0-0 Aana,15 Feet / Blacktopped,2500 Sq. Feet,4 months ago,"['Lawn', 'Garage', 'Backyard', 'Balcony', 'Garden', 'Microwave', 'Frontyard', 'Fencing', 'Deck', 'Modular Kitchen', 'TV Cable', 'Washing Machine', 'Wifi', 'Drainage', 'Water Tank', 'Water Well', 'Solar Water', 'Water Supply', 'Electricity Backup', 'Internet', 'Kids Playground']", Kathmandu, Dhapasi
"12 Anna 6 BHK Fully Furnished Bungalow On Sale At Chapali : House For Sale In Chapali, Kathmandu","['Location: Kathmandu > Chapali (Budhanilkantha)', ' Chapali', ' Kathmandu']",57500000,4,4,2.0,4,South East,,118,0-12-0-0 Aana,16 Feet / Blacktopped,N/A Aana,4 months ago,"['Lawn', 'Garage', 'Air Condition', 'Backyard', 'Balcony', 'Microwave', 'Frontyard', 'Fencing', 'Deck', 'Modular Kitchen', 'TV Cable', 'Washing Machine', 'Wifi', 'Drainage', 'Water Tank', 'Water Well', 'Solar Water', 'Water Supply', 'Electricity Backup', 'Internet', 'Kids Playground']", Kathmandu, Chapali
"52 Anna 5 BHK Bungalow For Sale/Rent At Dhumbarahi, Only 150 Meters From Ring Road. : House For Sale In Dhumbarahi, Kathmandu","['Dhumbarahi', ' 150 Mtr From Ring Road.', ' Dhumbarahi', ' Kathmandu']",300000000,4,4,,0,East,,737,0-52-0-0 Aana,20 Feet / Blacktopped,N/A Aana,4 months ago,"['Lawn', 'Garage', 'Air Condition', 'Backyard', 'Balcony', 'Microwave', 'Gym', 'Garden', 'Frontyard', 'Fencing', 'Deck', 'Modular Kitchen', 'TV Cable', 'Washing Machine', 'Wifi', 'Drainage', 'Cafeteria', 'CCTV', 'Water Tank', 'Water Well', 'Solar Water', 'Water Supply', 'Electricity Backup', 'Internet', 'Kids Playground']", Kathmandu, Dhumbarahi
"Magnificent 4 BHK 9 Anna Bungalow For Sale At Hepali Height, Golfutar. : House For Sale In Golfutar, Kathmandu","['Hepali Height', ' Golfutar.', ' Golfutar', ' Kathmandu']",55000000,4,4,2.0,3,South East,,232,0-9-0-0 Aana,20 Feet / Blacktopped,N/A Aana,4 months ago,"['Lawn', 'Garage', 'Air Condition', 'Backyard', 'Balcony', 'Microwave', 'Garden', 'Frontyard', 'Fencing', 'Deck', 'Modular Kitchen', 'TV Cable', 'Washing Machine', 'Wifi', 'Drainage', 'Water Tank', 'Water Well', 'Solar Water', 'Water Supply', 'Electricity Backup', 'Internet', 'Kids Playground']", Kathmandu, Golfutar
"9 Anna Beautiful House For Sale At Maharajgunj In Above 20 Feet Road. : House For Sale In Maharajgunj, Kathmandu","['Maharajgunj In Above 20 Feet Road.', ' Maharajgunj', ' Kathmandu']",67500000,4,4,,4,South East,,247,0-9-0-0 Aana,20 Feet / Blacktopped,N/A Aana,4 months ago,"['Lawn', 'Garage', 'Air Condition', 'Backyard', 'Balcony', 'Microwave', 'Garden', 'Frontyard', 'Fencing', 'Deck', 'Modular Kitchen', 'TV Cable', 'Washing Machine', 'Wifi', 'Drainage', 'Water Tank', 'Water Well', 'Solar Water', 'Water Supply', 'Electricity Backup', 'Internet', 'Kids Playground']", Kathmandu, Maharajgunj
"8 Anna Bungalow For Sale At Maharajgunj Just Behind Australian Embassy : House For Sale In Maharajgunj, Kathmandu","['Maharajgunj Just Behind Australian Embassy', ' Maharajgunj', ' Kathmandu']",55000000,4,3,2.0,3,South East,,253,0-8-0-0 Aana,14 Feet / Blacktopped,N/A Aana,4 months ago,"['Lawn', 'Garage', 'Air Condition', 'Backyard', 'Balcony', 'Microwave', 'Garden', 'Frontyard', 'Fencing', 'Deck', 'Modular Kitchen', 'TV Cable', 'Washing Machine', 'Wifi', 'Drainage', 'Water Tank', 'Water Well', 'Solar Water', 'Water Supply', 'Electricity Backup', 'Internet', 'Kids Playground']", Kathmandu, Maharajgunj
"Brand New House For Sale At Samakhusi, Only 150 Meters From Ring Road. : House For Sale In Samakhusi, Kathmandu","['Samakhusi', ' Only 150 Meters From Ring Road', ' Samakhusi', ' Kathmandu']",35000000,6,3,2.0,2,East,2076.0,210,0-5-0-0 Aana,15 Feet / Blacktopped,N/A Aana,4 months ago,"['Lawn', 'Garage', 'Backyard', 'Balcony', 'Garden', 'Frontyard', 'Fencing', 'Deck', 'Modular Kitchen', 'Washing Machine', 'TV Cable', 'Wifi', 'Water Tank', 'Water Well', 'Solar Water', 'Water Supply', 'Electricity Backup', 'Internet', 'Kids Playground']", Kathmandu, Samakhusi
"6 Anna 5 Bhk House For Sale At Budhanilkantha, 100 Mtrs From Main Road : House For Sale In Budhanilkantha, Kathmandu","['Budhanilkantha', ' 100 Mtrs From Main Road', ' Budhanilkantha', ' Kathmandu']",36000000,5,4,2.0,2,North East,,197,0-6-0-0 Aana,15 Feet / Blacktopped,N/A Aana,4 months ago,"['Lawn', 'Garage', 'Air Condition', 'Backyard', 'Balcony', 'Microwave', 'Garden', 'Frontyard', 'Fencing', 'Deck', 'Modular Kitchen', 'TV Cable', 'Washing Machine', 'Drainage', 'Cafeteria', 'Water Tank', 'Water Well', 'Solar Water', 'Water Supply', 'Electricity Backup', 'Internet', 'Kids Playground']", Kathmandu, Budhanilkantha
"4 Anna Brand New House For Sale At Kapan Height : House For Sale In Kapan, Kathmandu","['Kapan Height', ' Kapan', ' Kathmandu']",26000000,4,3,2.0,2,North East,2076.0,177,0-4-0-0 Aana,14 Feet / Blacktopped,N/A Aana,4 months ago,"['Lawn', 'Garage', 'Backyard', 'Balcony', 'Garden', 'Frontyard', 'Fencing', 'Modular Kitchen', 'Drainage', 'Water Tank', 'Water Well', 'Solar Water', 'Water Supply', 'Internet', 'Kids Playground']", Kathmandu, Kapan
"Marvelous 9 Anna Bungalow For Sale At Golfutar, Hepali Height. : House For Sale In Golfutar, Kathmandu","['Golfutar', ' Hepali Height', ' Golfutar', ' Kathmandu']",47500000,5,4,2.0,3,South East,,1K,0-9-0-0 Aana,16 Feet / Blacktopped,N/A Aana,4 months ago,"['Lawn', 'Garage', 'Air Condition', 'Backyard', 'Balcony', 'Garden', 'Frontyard', 'Fencing', 'Modular Kitchen', 'TV Cable', 'Washing Machine', 'Wifi', 'Drainage', 'Water Tank', 'Water Well', 'Solar Water', 'Water Supply', 'Electricity Backup', 'Internet', 'Kids Playground']", Kathmandu, Golfutar
"Beautiful : House For Rent In Bishal Nagar, Kathmandu","['Bishal Basti', ' Bishal Nagar', ' Kathmandu']",200000,13,5,3.5,1,North,,1.6K,0-10-0-0 Aana,16 Feet / Paved,7000 Aana,4 months ago,"['Balcony', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank', 'Water Well', 'Electricity Backup', 'Internet', 'Parking', 'Store Room']", Kathmandu, Bishal Nagar
"Sitapaila Thapachwok Land On Sale : Land For Sale In Sitapaila, Kathmandu","['thapachowk', ' Sitapaila', ' Kathmandu']",2300000,0,0,,0,East,,526,5.1 Aana,12 Feet / Soil Stabilized,N/A Aana,4 months ago,[], Kathmandu, Sitapaila
"Bungalow On Rent At Mandikatar, Dhumbharai : House For Rent In Mandikatar, Kathmandu","['Mandikhatar', ' Mandikatar', ' Kathmandu']",120000,4,4,2.0,1,West,,605,8 Aana,14 Feet / Blacktopped,6 Aana,4 months ago,"['Garage', 'Garden', 'Balcony', 'Store Room']", Kathmandu, Mandikatar
"3 BHK - Fully Furnished : Apartment For Sale In Balkumari, Lalitpur","['Westar Apartment', ' Balkumari', ' Lalitpur']",18000000,3,2,4.0,1,East,,9.3K,1259 Sq. Feet,0 Feet,1259 Sq. Feet,4 months ago,"['Lawn', 'Balcony', 'Garden', 'Gym', 'Modular Kitchen', 'Swimming Pool', 'TV Cable', 'Drainage', 'Water Supply', 'Solar Water', 'Water Well', 'CCTV', 'Cafeteria', 'Electricity Backup', 'Intercom', 'Internet', 'Kids Playground', 'Lift', 'Maintenance', 'Parking', 'Security Staff', 'Store Room', 'Jacuzzi']", Lalitpur, Balkumari
"26 Per Anna- Grande Hospital Near : Land For Sale In Tokha, Kathmandu","['Grande Hospital', ' Tokha', ' Kathmandu', ' Tokha', ' Kathmandu']",2600000,0,0,,0,North East,,216,4 Aana,15 Feet,4 Aana,4 months ago,[], Kathmandu, Tokha
"3.5 Talle| Semi-Commercial House : House For Sale In Tarkeshwor, Kathmandu","['Manamaiju', ' Gongabu', ' Kathmandu', ' Tarkeshwor', ' Kathmandu']",28000000,0,0,,0,East,,140,4 Aana,12 Feet / Blacktopped,4 Aana,4 months ago,"['Parking', 'Water Well', 'Water Tank', 'Water Supply', 'Drainage']", Kathmandu, Tarkeshwor
"Land For Sale In Prime Location Bhadrakali, Budhanikantha ~ 28 Aana : Land For Sale In Budhanilkantha, Kathmandu","['Khadka Bhadrakali', ' Ward #7', ' Budhanilkantha', ' Kathmandu']",4000000,0,0,,0,North,,448,1-12-0-0 Ropani,210 Feet / Blacktopped,N/A Aana,4 months ago,[], Kathmandu, Budhanilkantha
"Full- Furnished : House For Sale In Imadol, Lalitpur","['Sital height', ' Imadol', ' Lalitpur']",20000000,6,3,2.5,2,North,2076.0,4.6K,0-3-2-0 Aana,13 Feet / Gravelled,1900 Sq. Feet,4 months ago,"['Balcony', 'Fencing', 'Modular Kitchen', 'TV Cable', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Water Well', 'Electricity Backup', 'Internet', 'Parking', 'Store Room']", Lalitpur, Imadol
"New : House For Sale In Imadol, Lalitpur","['Sital height', ' Imadol', ' Lalitpur']",18500000,5,2,2.5,1,West,2076.0,597,0-3-2-0 Aana,13 Feet / Gravelled,2000 Aana,4 months ago,"['Balcony', 'Fencing', 'Modular Kitchen', 'TV Cable', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Water Well', 'Electricity Backup', 'Internet', 'Parking', 'Store Room']", Lalitpur, Imadol
"Hattigauda Land : Land For Sale In Hattigauda, Kathmandu","['Na', ' Hattigauda', ' Kathmandu']",4000000,0,0,,0,East,,99,11 Aana,13 Feet / Blacktopped,11 Aana,4 months ago,[], Kathmandu, Hattigauda
"Beautiful 6 Ana At Budhanilkantha : Land For Sale In Budhanilkantha, Kathmandu","['Na', ' Budhanilkantha', ' Kathmandu']",3500000,0,0,,0,East,,412,6 Aana,15 Feet / Soil Stabilized,6 Aana,4 months ago,[], Kathmandu, Budhanilkantha
"Bansbari Bungalow For Rent : House For Rent In Golfutar, Kathmandu","['Na', ' Golfutar', ' Kathmandu']",350000,6,6,3.0,4,East,2076.0,474,22 Aana,16 Feet / Gravelled,N/A Aana,4 months ago,"['Air Condition', 'Lawn', 'Balcony', 'Garden', 'Garage', 'Frontyard', 'Modular Kitchen', 'Washing Machine', 'Drainage', 'Water Supply', 'Solar Water', 'Kids Playground', 'Security Staff', 'Store Room', 'Parking']", Kathmandu, Golfutar
"Hattigauda 8 Ana Land : Land For Sale In Budhanilkantha, Kathmandu","['Na', ' Budhanilkantha', ' Kathmandu']",4200000,0,0,,0,East,,93,8 Aana,13 Feet / Blacktopped,N/A Aana,4 months ago,[], Kathmandu, Budhanilkantha
"Neo-Classical : House For Sale In Imadol, Lalitpur","['Sanagau height', ' Imadol', ' Lalitpur']",22000000,5,3,2.5,2,East,2076.0,6.2K,0-3-2-0 Aana,20 Feet / Gravelled,2200 Aana,4 months ago,"['Balcony', 'Fencing', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Water Well', 'Electricity Backup', 'Internet', 'Parking', 'Store Room']", Lalitpur, Imadol
"Modern House : House For Sale In Imadol, Lalitpur","['Tikathali', ' Buddha colony', ' Imadol', ' Lalitpur']",19500000,5,3,2.5,2,East,2076.0,2.3K,0-3-2-0 Aana,13 Feet / Gravelled,2000. Aana,4 months ago,"['Balcony', 'Fencing', 'Modular Kitchen', 'Swimming Pool', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Water Well', 'Electricity Backup', 'Internet', 'Parking', 'Store Room']", Lalitpur, Imadol
"New : House For Sale In Lubhu, Lalitpur","['Kantipur college', ' Lubhu', ' Lalitpur']",17000000,5,3,2.5,2,South,,740,0-3-2-0 Aana,20 Feet / Blacktopped,N/A Sq. Feet,4 months ago,"['Drainage', 'Water Well', 'Electricity Backup', 'Parking']", Lalitpur, Lubhu
"Durbarmarg Office On Sale : Office Space For Sale In Durbar Marg, Kathmandu","['Durbarmarg', ' Durbar Marg', ' Kathmandu']",850000,0,1,,1,East,2005.0,791,500sqft Sq. Feet,25 Meter / Blacktopped,500 Sq. Feet,4 months ago,"['Air Condition', 'Balcony', 'Lawn', 'Wifi', 'Water Supply', 'CCTV', 'Internet', 'Security Staff', 'Cafeteria', 'Drainage']", Kathmandu, Durbar Marg
"Land On Sell For VIP Resident : Land For Sale In Mhepi, Kathmandu","['Mhepi Jana marga', ' Mhepi', ' Kathmandu']",4500000,0,0,,0,North East,,525,12 Aana,15 Feet / Blacktopped,12 Aana,4 months ago,[], Kathmandu, Mhepi
"Flat For Rent : Flat For Rent In Budhanilkantha, Kathmandu","['Fulbari', ' Budhanilkantha', ' Kathmandu']",25000,2,1,,1,East,,667,5 Aana,0 Feet,N/A Aana,4 months ago,['Balcony'], Kathmandu, Budhanilkantha
"Land Is Very Suitable For Residental Purpose : Land For Sale In Swayambhu, Kathmandu","['Ichangu', ' Swayambhu', ' Kathmandu']",1950000,0,0,,2,North West,,629,3-1 Aana,12 Feet,N/A Aana,5 months ago,['Parking'], Kathmandu, Swayambhu
"Best For Warehouse : Land For Sale In Kalanki, Kathmandu","['Bafal', ' Kalanki', ' Kathmandu']",5750000,0,0,,0,East,,520,1-5-2-0 Aana,16 Feet / Soil Stabilized,1-0-0-0 Aana,5 months ago,[], Kathmandu, Kalanki
"Land For Sale In Lubhu, Lalitpur","['Mahalaxmi', ' Lubhu', ' Lalitpur']",1600000,0,0,,0,East,,833,0-5-1-1 Aana,16 Feet / Blacktopped,N/A Aana,5 months ago,[], Lalitpur, Lubhu
"Land On Sale Near Baba Chowk Mulpani : Land For Sale In Mulpani, Kathmandu","['Baba Chowk Mulpani', ' Mulpani', ' Kathmandu']",2500000,0,0,,0,East,,392,0-4-2-0 Aana,13 Feet / Soil Stabilized,N/A Aana,5 months ago,[], Kathmandu, Mulpani
"इमाडोल ओचुमा  Semi Commercial जग्गा बिक्रमा : Land For Sale In Imadol, Lalitpur","['imadol -4 lalitpur', ' Imadol', ' Lalitpur']",3000000,0,0,,0,West,,156,0-3-3-1 Aana,13 Feet / Gravelled,N/A Aana,5 months ago,[], Lalitpur, Imadol
"Commercial : House For Rent In Newroad, Kathmandu","['Khichapokhari', ' Newroad', ' Kathmandu']",400000,0,0,,0,South,,700,1-0-0-0 Ropani,16 Feet / Blacktopped,5500 Sq. Feet,5 months ago,"['Drainage', 'Solar Water', 'Water Tank', 'Water Well', 'Electricity Backup', 'Internet', 'Maintenance', 'Parking']", Kathmandu, Newroad
"Near Grandy : House For Sale In Tokha, Kathmandu","['Tokha', ' Kathmandu', ' Tokha', ' Kathmandu']",26300000,5,0,,1,East,,902,4 Aana,13 Feet,3-4 Aana,5 months ago,"['Parking', 'Water Tank', 'Drainage']", Kathmandu, Tokha
"Total 11 Room : House For Sale In Basundhara, Kathmandu","['Basundhara', ' Kathmandu', ' Basundhara', ' Kathmandu']",37000000,6,0,,1,East,2076.0,1.3K,4-5 Aana,13 Feet,4-5 Aana,5 months ago,"['Parking', 'Drainage', 'Water Tank']", Kathmandu, Basundhara
"2.5 Storey : House For Sale In Imadol, Lalitpur","['Sital Height', ' Imadol', ' Lalitpur']",17000000,4,3,2.5,1,South,2076.0,1.8K,0-3-1-2 Aana,13 Feet / Gravelled,N/A Aana,5 months ago,"['Drainage', 'Solar Water', 'Water Tank', 'Water Well', 'Internet', 'Parking']", Lalitpur, Imadol
"Land For Sale In Imadol, Lalitpur","['sital height', ' planning', ' Imadol', ' Lalitpur']",2400000,0,0,,0,West,,4K,0-3-1-1 Aana,20 Feet / Gravelled,N/A Aana,5 months ago,"['Drainage', 'Water Well']", Lalitpur, Imadol
"Newly Built : House For Sale In Imadol, Lalitpur","['Ochu height', ' Koreran college', ' Imadol', ' Lalitpur']",17000000,8,3,2.5,1,South,2076.0,2.8K,0-3-0-0 Aana,13 Feet / Gravelled,95 Aana,5 months ago,"['Electricity Backup', 'Internet', 'Parking']", Lalitpur, Imadol
"Land For Sale In Imadol, Lalitpur","['NayaBasti', ' Imadol', ' Lalitpur']",2800000,0,0,,0,South,,778,0-3-3-0 Aana,10 Feet / Blacktopped,N/A Aana,5 months ago,['Water Well'], Lalitpur, Imadol
"Naya Ghar : House For Sale In Tokha, Kathmandu","['Suryadarsan Height', ' Tokha', ' Kathmandu', ' Tokha', ' Kathmandu']",16000000,4,3,,1,East,2076.0,998,3 Aana,12 Feet / Paved,3 Aana,5 months ago,"['Balcony', 'Water Tank', 'Water Supply', 'Drainage']", Kathmandu, Tokha
"12 Th Floor B 1 Block : Apartment For Rent In Sanepa, Lalitpur","['Imperial Court', ' Sanepa', ' Lalitpur']",150000,3,3,0.0,1,South,2072.0,814,2000 Sq. Feet,26 Feet / Blacktopped,1800 Sq. Feet,5 months ago,"['Water Supply', 'Garden', 'Maintenance', 'Balcony', 'Wifi', 'Electricity Backup', 'Air Condition', 'Gym', 'Lift', 'Parking', 'Garage', 'TV Cable', 'Microwave', 'Intercom', 'Washing Machine', 'Kids Playground', 'Swimming Pool', 'Drainage', 'Internet', 'Security Staff', 'Modular Kitchen']", Lalitpur, Sanepa
"Office Sapce @ Imadol : Office Space For Rent In Imadol, Lalitpur","['Imadol 1', ' Imadol', ' Lalitpur']",65000,0,0,4.0,0,North East,,446,0-6-1-2 Aana,22 Meter / Blacktopped,1530 Sq. Feet,5 months ago,[], Lalitpur, Imadol
"House For Sale In Thaiba, ( Comfort Housing,) : House For Sale In Thaiba, Lalitpur","['Comfort Housing', ' Thaiba', ' Lalitpur']",20000000,3,2,3.0,1,South,2070.0,1.6K,3 Aana,20 Feet / Blacktopped,N/A Aana,5 months ago,"['Balcony', 'Garden', 'Gym', 'Modular Kitchen', 'Swimming Pool', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Well', 'CCTV', 'Electricity Backup', 'Internet', 'Kids Playground', 'Maintenance', 'Parking', 'Security Staff', 'Jacuzzi']", Lalitpur, Thaiba
"Total 10 Room : House For Sale In Manamaiju, Kathmandu","['Gongabu', ' Manamaiju', ' Kathmandu']",17000000,0,0,,0,East,,794,3 Aana,12 Feet,3 Aana,5 months ago,"['Drainage', 'Water Supply', 'Parking']", Kathmandu, Manamaiju
"G.M. Complex : Office Space For Rent In Lagankhel, Lalitpur","['Lagankhel-5', ' Lagankhel', ' Lalitpur']",100,0,15,6.0,20,West,2019.0,258,0-14-0-0 Aana,9 Meter / Blacktopped,3000 Sq. Feet,5 months ago,"['Balcony', 'Drainage', 'Water Supply', 'Microwave', 'Air Condition', 'Frontyard']", Lalitpur, Lagankhel
"Brand New : House For Sale In Gongabu, Kathmandu","['Dhaneshwor Temple', ' Gongabu', ' Kathmandu']",26000000,4,3,2.5,0,North,2076.0,1.4K,0-3-2-0 Aana,13 Feet / Blacktopped,N/A Aana,5 months ago,"['Water Well', 'Electricity Backup', 'Parking']", Kathmandu, Gongabu
"South Faced 5.5 Anna Land On Sale In Koteshwor : Land For Sale In Koteshwor, Kathmandu","['Dharmasthali Marga', ' Koteshwor', ' Kathmandu']",4500000,0,0,,0,South,,783,0-5-2-0 Aana,12 Feet / Blacktopped,N/A Aana,5 months ago,[], Kathmandu, Koteshwor
"Plotted Land For Sale At Prime Location In Kantipur Colony, Nakhipot : Land For Sale In Nakhipot, Lalitpur","['Kantipur Colony', ' Nakhipot', ' Lalitpur']",3100000,0,0,,0,East,,1K,0-3-2-0 Aana,7 Feet / Blacktopped,N/A Aana,5 months ago,[], Lalitpur, Nakhipot
"Land For Sale : Land For Sale In Lele, Lalitpur","['Godawari 6', ' Lele', ' Lalitpur']",350000,0,0,,0,East,,899,27 Aana,24 Feet / Gravelled,27 Aana,5 months ago,[], Lalitpur, Lele
"Land For Sale In Swayambhu, Kathmandu","['Dallu', ' Swayambhu', ' Kathmandu']",2300000,0,0,,0,East,,1.1K,0-3-3-0 Aana,12 Feet,N/A Aana,5 months ago,[], Kathmandu, Swayambhu
"Land For Sale In Gurujudhara, Kathmandu","['Gurjudhara', ' Gurujudhara', ' Kathmandu']",2250000,0,0,,0,East,,476,0-4-0-0 Aana,20 Feet / Concrete,N/A Sq. Feet,5 months ago,[], Kathmandu, Gurujudhara
"Italitar 4.5 Ana Land : Land For Sale In Hattigauda, Kathmandu","['na', ' Hattigauda', ' Kathmandu']",3500000,0,0,,0,South West,,284,4.5 Aana,13 Feet / Gravelled,N/A Aana,5 months ago,[], Kathmandu, Hattigauda
"Bhadrabas Plotting Lands : Land For Sale In Thali, Kathmandu","['na', ' Thali', ' Kathmandu']",1350000,0,0,,0,East,,373,4/4/5/5/6 Aana,20 Feet / Gravelled,N/A Aana,5 months ago,[], Kathmandu, Thali
"Highway Touched Land : Land For Sale In Nagdhunga, Kathmandu","['27.7154959', ' 85.1985274', ' Nagdhunga', ' Kathmandu']",600000,0,0,,0,South East,,219,58 Aana,18 Feet / Blacktopped,N/A Aana,5 months ago,[], Kathmandu, Nagdhunga
"Colony House For Rent : House For Rent In Godawari, Lalitpur","['24', ' Godawari', ' Lalitpur']",35000,4,3,2.0,1,East,2019.0,1K,4 Aana,5 Meter / Paved,5 Aana,5 months ago,"['Lawn', 'Backyard', 'Balcony', 'Microwave', 'Modular Kitchen', 'TV Cable', 'Solar Water', 'Electricity Backup', 'Water Tank', 'Water Supply']", Lalitpur, Godawari
"Brand New Bungalow. : House For Sale In Sanobharyang, Kathmandu","['army medical college', ' Sanobharyang', ' Kathmandu']",40000000,0,0,2.5,1,North,2076.0,1.9K,0-5-0-0 Aana,13 Feet / Blacktopped,N/A Aana,5 months ago,"['Modular Kitchen', 'TV Cable', 'Drainage', 'Water Supply', 'Water Well', 'Internet', 'Parking', 'Store Room']", Kathmandu, Sanobharyang
"3 Individual Apartment With A Penthouse In A Private Building : House For Rent In Thamel, Kathmandu","['Jogin Pakha Marg', ' Thamel', ' Kathmandu']",400000,11,8,6.0,5,East,2016.0,716,8 Aana,12 Feet,5 Aana,5 months ago,"['Lawn', 'Air Condition', 'Backyard', 'Balcony', 'Fencing', 'Frontyard', 'Garden', 'Modular Kitchen', 'TV Cable', 'Washing Machine', 'Wifi', 'Drainage', 'Water Supply', 'Water Well', 'Water Tank', 'Electricity Backup', 'Internet', 'Parking', 'Security Staff', 'Store Room']", Kathmandu, Thamel
"Road Ko Najik : House For Sale In Imadol, Lalitpur","['Imadol', ' Lalitpur', ' Imadol', ' Lalitpur']",19000000,0,0,,1,North East,2076.0,784,3-4 Aana,0 Feet,3-4 Aana,5 months ago,"['Parking', 'Water Tank', 'Drainage']", Lalitpur, Imadol
"2BHK PRIVATE APARTMENT : Apartment For Rent In Paknajol, Kathmandu","['Jogin Pakha Marg', ' Paknajol', ' Kathmandu']",70000,2,1,6.0,5,East,2016.0,453,8 Aana,12 Feet / Paved,5 Aana,5 months ago,"['Lawn', 'Air Condition', 'Backyard', 'Balcony', 'Fencing', 'Frontyard', 'Garden', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Well', 'Water Tank', 'Electricity Backup', 'Internet', 'Security Staff', 'Parking']", Kathmandu, Paknajol
"1 Talle New House : House For Sale In Imadol, Lalitpur","['Imadol', ' Lalitpur', ' Imadol', ' Lalitpur']",11000000,2,1,1.0,1,East,,1.1K,2-3 Aana,13 Feet,2-3 Aana,5 months ago,"['Parking', 'Water Tank', 'Water Well', 'Drainage']", Lalitpur, Imadol
"Brand New : Flat For Rent In Bishal Nagar, Kathmandu","['Bishalnagar', ' Bishal Nagar', ' Kathmandu']",45000,2,2,,1,South East,,1.3K,1044 Sq. Feet,10 Feet / Blacktopped,N/A Sq. Feet,5 months ago,"['Garden', 'Drainage', 'Solar Water', 'Water Well']", Kathmandu, Bishal Nagar
"House For Rent In Jhamsikhel, Lalitpur","['Thadodhunga', ' Jhamsikhel', ' Lalitpur']",150000,3,4,,2,East,,779,0-5-2-0 Aana,8 Meter / Blacktopped,N/A Aana,5 months ago,[], Lalitpur, Jhamsikhel
"HOUSE IN PRIME COLONY : House For Rent In Jhamsikhel, Lalitpur","['THADODHUNGA', ' Jhamsikhel', ' Lalitpur']",150000,3,4,3.0,2,East,2019.0,633,0-5-2-0 Aana,14 Feet / Paved,0-4-0-0 Aana,5 months ago,"['Garage', 'Balcony', 'Fencing', 'Drainage', 'Water Supply', 'Solar Water', 'Water Well', 'Water Tank', 'Electricity Backup']", Lalitpur, Jhamsikhel
"Single : Flat For Rent In Gokarneshwor, Kathmandu","['Jorpati opposite to Makalbari', ' Gokarneshwor', ' Kathmandu']",35000,4,3,,2,East,,651,4/2/2 Aana,12 Feet / Paved,N/A Aana,6 months ago,"['Balcony', 'TV Cable', 'Wifi', 'Water Supply', 'Solar Water', 'Electricity Backup', 'Water Tank']", Kathmandu, Gokarneshwor
"House For Sale In Bafal, Kathmandu","['sitapaila', ' Bafal', ' Kathmandu']",25500000,0,0,3.5,0,North,2070.0,5.1K,0-4-2-0 Aana,13 Feet / Blacktopped,N/A Aana,6 months ago,"['Swimming Pool', 'TV Cable', 'Drainage', 'Water Supply', 'Water Tank', 'Water Well', 'Electricity Backup', 'Internet', 'Parking']", Kathmandu, Bafal
"House For Sale In Dharmasthali, Kathmandu","['jharankhu', ' Dharmasthali', ' Kathmandu']",13500000,0,0,,1,South East,,1.2K,0-2-2-0 Aana,12 Feet / Blacktopped,N/A Aana,6 months ago,[], Kathmandu, Dharmasthali
"House For Sale In Harisiddhi, Lalitpur","['Harisiddhi', ' Harisiddhi', ' Lalitpur']",28000000,0,0,,0,South,,1K,0-5-3-0 Aana,20 Feet,N/A Sq. Feet,6 months ago,[], Lalitpur, Harisiddhi
